dataset,total_duration_years,mean_power_w,filtering_result,degradation_rate_pct_per_year,rate_reliable,unreliable_because,missing_maps,multiple_matches,statistical_trend_method,detected_or_created_columns,why_missing
multiyear1.csv,8.684,48357.8,9.7% retained (330/3386 rows),-0.4964,yes,,none,"DC Power: dc_power__1136 (used), dc_power__1136, inv1_dc_power__1134, inv2_dc_power__1135 | DC Voltage: inv2_dc_voltage__1048 (used), inv1_dc_voltage__1044, inv2_dc_voltage__1048 | DC Current: inv2_dc_current__1049 (used), inv1_dc_current__1045, inv2_dc_current__1049 | Irradiance: poa_irradiance_refcell__1054 (used), poa_irradiance__1055, poa_irradiance_refcell__1054 | Module temperature: module_temp__1056 (used), module_temp__1056, inv1_temp__1046, inv2_temp__1050",YOY (energy-ratio),Time=measured_on | DC Power=dc_power__1136 | DC Voltage=inv2_dc_voltage__1048 | DC Current=inv2_dc_current__1049 | Irradiance=poa_irradiance_refcell__1054 | Module temperature=module_temp__1056,
multiyear2.csv,9.859,5547.3,3.8% retained (137/3589 rows),-0.2829,yes,,none,"DC Power: dc_power_hw__2694 (used), dc_power_hw__2694, power_factor_1000__2693 | DC Voltage: dc_voltage__2682 (used), dc_voltage__2682 | DC Current: dc_current__2683 (used), dc_current__2683 | Irradiance: poa_irradiance__2679 (used), poa_irradiance__2679 | Module temperature: module_temp_f__2689 (used), module_temp_f__2689",YOY (energy-ratio),Time=measured_on | DC Power=dc_power_hw__2694 | DC Voltage=dc_voltage__2682 | DC Current=dc_current__2683 | Irradiance=poa_irradiance__2679 | Module temperature=module_temp_f__2689,
multiyear3.csv,15.422,175.6,15.7% retained (558/3559 rows),-0.5613,yes,,none,"DC Power: dc_power__314 (used), dc_power__314, dc_power__3971, power_factor__327, power_factor__3983, power_factor__3653 | DC Voltage: dc_pos_voltage__316 (used), dc_pos_voltage__316, biased_module_voltage__1202, dc_voltage__3972, inv1_string1_dc_voltage__3627 | DC Current: dc_pos_current__317 (used), dc_pos_current__317, dc_current__3973, inv1_string1_dc_current__3614, inv1_string2_dc_current__3615 | Irradiance: poa_irradiance__313 (used), poa_irradiance__313, poa_irradiance__3970, poa_irradiance__3604, intsolirrad__16, licor1_irradiance__3605, licor2_irradiance__3606, licor3_irradiance__3607, licor4_irradiance__3608, licor5_irradiance__3609, referencemodule1_irradiance__3610, referencemodule2_irradiance__3612 | Module temperature: module_temp_1__321 (used), module_temp_1__321, module_temp_2__322, module_temp_3__323",YOY (energy-ratio),Time=measured_on | DC Power=dc_power__314 | DC Voltage=dc_pos_voltage__316 | DC Current=dc_pos_current__317 | Irradiance=poa_irradiance__313 | Module temperature=module_temp_1__321,
multiyear_compute_power_VxI_sys1429.csv,1.673,711.4,22.5% retained (786/3499 rows),-0.8076,no,the data spans only 1.7 year(s) — under 2 years is too short to separate real aging from seasonal weather,none,"DC Voltage: inv2_dc_voltage__4918 (used), inv1_dc_voltage__4912, inv2_dc_voltage__4918 | DC Current: inv1_dc_current1__4913 (used), inv1_dc_current1__4913, inv1_dc_current2__4914, inv2_dc_current1__4919 | Irradiance: poa_irradiance__4924 (used), poa_irradiance__4924, poa_irradiance_refcell1__4925, poa_irradiance_refcell2__4926 | Module temperature: module_temp_1__4928 (used), module_temp_1__4928, module_temp_2__4929, module_temp_3__4930",LR,Time=measured_on | DC Power=computed_dc_power | DC Voltage=inv2_dc_voltage__4918 | DC Current=inv1_dc_current1__4913 | Irradiance=poa_irradiance__4924 | Module temperature=module_temp_1__4928,
multiyear_full_dcnaming_sys3.csv,7.009,-802.2,12.3% retained (243/1981 rows),-1.7994,no,the year-over-year changes disagree with each other by about ±2.8%/yr — too scattered for this single number to be trusted,none,"DC Power: dc_power__353 (used), dc_power__353 | DC Voltage: dc_pos_voltage__354 (used), dc_pos_voltage__354 | DC Current: dc_pos_current__355 (used), dc_pos_current__355 | Irradiance: poa_irradiance__352 (used), poa_irradiance__352 | Module temperature: module_temp_1__356 (used), module_temp_1__356",YOY (energy-ratio),Time=measured_on | DC Power=dc_power__353 | DC Voltage=dc_pos_voltage__354 | DC Current=dc_pos_current__355 | Irradiance=poa_irradiance__352 | Module temperature=module_temp_1__356,
multiyear_no_irradiance_sys1199.csv,10.103,14534.9,45.0% retained (892/1983 rows),2.4735,no,the computed rate (+2.5%/yr) is outside the physically plausible range (real degradation is roughly 0 to −3%/yr),Irradiance,"DC Power: dc_power__2715 (used), dc_power__2715, inv1_dc_power__2717, inv2_dc_power__2722, inv3_dc_power__2727, inv4_dc_power__2732, inv5_dc_power__2737, inv6_dc_power__2742, inv7_dc_power__2747 | DC Voltage: inv1_dc_voltage__2718 (used), inv1_dc_voltage__2718, inv2_dc_voltage__2723, inv3_dc_voltage__2728 | DC Current: inv1_dc_current__2719 (used), inv1_dc_current__2719, inv2_dc_current__2724, inv3_dc_current__2729 | Module temperature: inv1_temp__2720 (used), inv1_temp__2720, inv2_temp__2725, inv3_temp__2730",YOY,Time=measured_on | DC Power=dc_power__2715 | DC Voltage=inv1_dc_voltage__2718 | DC Current=inv1_dc_current__2719 | Module temperature=inv1_temp__2720,
multiyear_power_only_sys1265.csv,3.537,251.5,0.0% retained (0/3596 rows),,,,Module temperature,"DC Power: ppv_avg__3430 (used), ppv_avg__3430 | DC Current: a_avg__3431 (used), a_avg__3431 | Irradiance: wh_sum__3428 (used), wh_sum__3428",YOY,Time=measured_on | DC Power=ppv_avg__3430 | DC Voltage=computed_dc_voltage | DC Current=a_avg__3431 | Irradiance=wh_sum__3428,No degradation rate (stopped at 'filter'): Only 0 row(s) survived filtering (need >= 20) -- not enough clean data to estimate degradation. Correctly refused rather than guessing.
my_01_csv_10.csv,22.582,228.8,21.0% retained (292/1393 rows),-0.1619,yes,,none,"DC Power: dc_power__422 (used), dc_power__422 | DC Voltage: dc_pos_voltage__424 (used), dc_pos_voltage__424 | DC Current: dc_pos_current__425 (used), dc_pos_current__425 | Irradiance: poa_irradiance__421 (used), poa_irradiance__421 | Module temperature: module_temp_1__429 (used), module_temp_1__429",LR,Time=measured_on | DC Power=dc_power__422 | DC Voltage=dc_pos_voltage__424 | DC Current=dc_pos_current__425 | Irradiance=poa_irradiance__421 | Module temperature=module_temp_1__429,
my_02_csv_1199.csv,10.001,14929.2,44.4% retained (347/782 rows),0.2011,yes,,"Irradiance, Module temperature","DC Power: dc_power__2715 (used), dc_power__2715 | DC Voltage: inv1_dc_voltage__2718 (used), inv1_dc_voltage__2718 | DC Current: inv1_dc_current__2719 (used), inv1_dc_current__2719",YOY,Time=measured_on | DC Power=dc_power__2715 | DC Voltage=inv1_dc_voltage__2718 | DC Current=inv1_dc_current__2719,
my_03_csv_1201.csv,9.347,3918.6,7.6% retained (108/1429 rows),23.1772,no,only 5 daily data point(s) survived filtering (a reliable trend needs at least 20); the computed rate (+23.2%/yr) is outside the physically plausible range (real degradation is roughly 0 to −3%/yr),"Irradiance, Module temperature","DC Power: dc_power_hw__2800 (used), dc_power_hw__2800 | DC Voltage: dc_voltage__2795 (used), dc_voltage__2795 | DC Current: dc_current__2796 (used), dc_current__2796 | Irradiance: poa_irradiance__2789",LR,Time=measured_on | DC Power=dc_power_hw__2800 | DC Voltage=dc_voltage__2795 | DC Current=dc_current__2796,
